"","clientId","shopId","gender","maritalStatus","age","numberOfDependents","education","flagResidencialPhone","areaCodeResidencialPhone","bestPaymentDay","shopRank","residenceType","monthsInResidence","flagMothersName","flagFathersName","flagResidenceTown_WorkingTown","flagResidenceState_WorkingState","monthsInTheJob","professionCode","mateIncome","flagResidencialAddress_PostalAddress","flagOtherCard","quantityBankingAccounts","flagMobilePhone","flagContactPhone","personalNetIncome","codeApplicationBooth","BAD"
"12",15,7,"M","S",26,0,NA,"Y",27,1,0,"P",240,"Y","Y","N","Y",12,26,0,"Y","N",0,"N","N",1000,0,0
"13",16,19,"F","S",49,0,NA,"N",50,20,0,"P",120,"Y","Y","N","Y",0,703,0,"Y","N",0,"N","N",225,0,0
"14",18,55,"M","O",44,0,NA,"Y",31,8,0,"P",72,"Y","Y","Y","Y",12,135,0,"Y","N",0,"N","N",370,0,0
"15",19,55,"F","V",46,0,NA,"N",50,12,0,"P",360,"Y","Y","N","Y",120,704,0,"Y","N",0,"N","N",520,0,0
"16",20,24,"M","S",20,0,NA,"Y",31,28,0,"P",24,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",500,0,1
"17",21,9,"M","C",26,0,NA,"Y",5,18,0,"C",264,"Y","Y","N","Y",36,79,0,"Y","N",0,"N","N",490,0,1
"18",22,1,"M","C",17,0,NA,"N",50,12,0,"A",12,"Y","Y","N","Y",12,38,0,"Y","N",0,"N","N",426,0,1
"19",23,19,"F","C",20,0,NA,"Y",31,28,0,"P",120,"Y","Y","N","Y",0,999,0,"Y","N",0,"N","N",500,0,0
"20",24,21,"F","S",46,0,NA,"Y",31,8,0,"A",48,"Y","Y","Y","Y",192,999,0,"Y","N",0,"N","N",3100,0,0
"21",25,25,"F","C",41,0,NA,"Y",50,8,0,"P",12,"Y","Y","Y","Y",120,34,0,"Y","N",0,"N","N",1175,0,0
"22",26,12,"M","S",20,0,NA,"Y",50,12,0,"P",12,"Y","Y","Y","Y",24,39,0,"Y","N",0,"N","N",285,0,1
"23",27,20,"F","D",64,0,NA,"Y",50,3,0,"A",12,"Y","Y","Y","Y",60,72,0,"Y","N",0,"N","N",700,0,1
"24",28,15,"F","D",71,0,NA,"Y",31,18,0,"A",96,"Y","Y","N","Y",12,13,0,"Y","N",0,"N","N",180,0,0
"25",30,1,"F","S",46,0,NA,"Y",31,8,0,"P",72,"Y","Y","N","Y",12,801,0,"Y","N",0,"N","N",442,0,0
"26",31,12,"M","C",24,0,NA,"N",31,20,0,"P",240,"Y","Y","Y","Y",12,30,0,"Y","N",0,"N","N",313,0,0
"27",32,12,"F","S",23,0,NA,"N",31,18,0,"P",276,"Y","Y","Y","Y",0,999,0,"Y","N",0,"N","N",280,0,1
"28",33,6,"F","C",36,0,NA,"N",50,8,0,"P",240,"Y","Y","N","Y",12,713,0,"Y","N",0,"N","N",250,0,0
"29",34,3,"F","S",40,0,NA,"Y",31,28,0,"P",24,"Y","Y","Y","Y",0,305,0,"Y","N",0,"N","N",1000,0,0
"30",35,55,"F","S",23,0,NA,"Y",50,12,0,"P",36,"Y","Y","Y","Y",24,653,0,"Y","N",0,"N","N",390,0,0
"31",36,12,"F","S",27,0,NA,"Y",31,23,0,"P",24,"Y","Y","Y","Y",12,72,0,"Y","N",0,"N","N",350,0,0
"32",37,25,"M","S",18,0,NA,"Y",31,23,0,"P",228,"Y","Y","N","Y",0,950,0,"Y","N",0,"N","N",800,0,1
"33",38,24,"F","O",31,0,NA,"N",50,28,0,"P",168,"Y","Y","Y","Y",72,801,0,"Y","N",0,"N","N",451,0,0
"34",39,12,"F","S",24,0,NA,"Y",31,1,0,"P",96,"Y","Y","N","Y",0,261,0,"Y","N",0,"N","N",700,0,1
"35",40,23,"F","O",30,0,NA,"Y",31,12,0,"O",240,"Y","Y","N","Y",60,43,0,"Y","N",0,"N","N",300,0,1
"36",41,20,"F","S",21,0,NA,"Y",31,8,0,"C",252,"Y","Y","Y","Y",36,40,0,"Y","N",0,"N","N",295,0,0
"37",42,55,"F","S",39,0,NA,"Y",31,18,0,"A",24,"Y","Y","Y","Y",0,205,0,"Y","N",0,"N","N",220,0,0
"38",43,22,"M","C",55,0,NA,"Y",31,8,0,"P",72,"Y","Y","N","Y",12,13,0,"Y","N",0,"N","N",1174,0,0
"39",45,11,"M","D",26,0,NA,"N",31,12,0,"P",120,"Y","Y","Y","Y",0,999,0,"Y","N",0,"N","N",2701,0,0
"40",46,23,"F","S",66,0,NA,"Y",31,12,0,"P",48,"Y","Y","Y","Y",288,918,0,"Y","N",0,"N","N",365,0,0
"41",47,20,"M","S",23,0,NA,"N",50,3,0,"O",12,"Y","Y","Y","Y",24,251,0,"Y","N",0,"N","N",355,0,0
"42",48,66,"F","C",31,0,NA,"Y",31,3,0,"P",360,"Y","Y","N","Y",0,720,1200,"Y","N",0,"N","N",840,0,0
"43",49,3,"F","S",18,0,NA,"Y",50,12,0,"P",96,"Y","Y","N","Y",12,205,0,"Y","N",0,"N","N",350,0,1
"44",52,24,"F","S",23,0,NA,"Y",50,18,0,"P",276,"Y","Y","N","Y",24,950,0,"Y","N",0,"N","N",300,0,0
"45",53,6,"F","O",17,0,NA,"Y",34,12,0,"P",216,"Y","Y","Y","Y",24,62,0,"Y","N",0,"N","N",200,0,1
"46",55,6,"F","S",35,0,NA,"N",50,25,0,"A",12,"Y","Y","N","Y",36,703,0,"Y","N",0,"N","N",400,0,1
"47",56,23,"F","S",19,0,NA,"Y",31,12,0,"A",12,"Y","N","Y","Y",12,205,0,"Y","N",0,"N","N",372,0,0
"48",57,20,"F","S",42,0,NA,"Y",31,12,0,"A",60,"Y","Y","Y","Y",36,999,0,"Y","N",0,"N","N",472,0,0
"49",58,19,"F","S",32,0,NA,"Y",31,1,0,"P",120,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",733,0,0
"50",59,23,"M","S",20,0,NA,"Y",31,8,0,"P",24,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",545,0,0
"51",60,3,"F","C",53,0,NA,"Y",31,18,0,"P",240,"Y","Y","N","Y",36,950,0,"Y","N",0,"N","N",300,0,0
"52",61,13,"F","S",23,0,NA,"Y",31,22,0,"P",72,"Y","Y","N","Y",24,53,0,"Y","N",0,"N","N",375,0,0
"53",62,55,"F","S",21,0,NA,"N",31,25,0,"O",216,"Y","Y","N","Y",0,24,0,"Y","N",0,"N","N",292,0,0
"54",63,55,"F","S",62,0,NA,"Y",31,12,0,"P",300,"Y","Y","N","Y",48,13,0,"Y","N",0,"N","N",380,0,0
"55",64,25,"F","C",32,0,NA,"Y",31,1,0,"P",96,"Y","Y","Y","Y",24,41,0,"Y","N",0,"N","N",1805,0,0
"56",65,20,"M","S",19,0,NA,"Y",31,12,0,"P",12,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",240,0,1
"57",66,24,"F","S",21,0,NA,"Y",31,8,0,"A",0,"Y","Y","Y","Y",12,40,0,"Y","N",0,"N","N",410,0,0
"58",67,1,"F","O",38,0,NA,"N",50,12,0,"P",144,"Y","N","Y","Y",108,205,0,"Y","N",0,"N","N",180,0,0
"59",70,22,"F","S",18,0,NA,"Y",31,12,0,"A",12,"Y","Y","Y","Y",12,801,0,"Y","N",0,"N","N",197,0,0
"60",72,55,"M","C",39,0,NA,"Y",50,12,0,"P",60,"Y","Y","Y","Y",120,999,0,"Y","N",0,"N","N",815,0,0
"61",73,14,"F","C",75,0,NA,"Y",31,8,0,"P",48,"Y","Y","N","Y",0,2,0,"Y","N",0,"N","N",3900,0,0
"62",74,17,"F","C",38,0,NA,"Y",31,12,0,"P",96,"Y","Y","N","Y",12,999,0,"Y","N",0,"N","N",200,0,0
"63",76,21,"F","C",40,0,NA,"Y",31,12,0,"O",156,"Y","Y","Y","Y",144,131,1000,"Y","N",0,"N","N",400,0,0
"64",77,8,"F","S",23,0,NA,"Y",31,12,0,"P",216,"Y","Y","N","Y",12,992,0,"Y","N",0,"N","N",210,0,1
"65",79,10,"F","C",23,0,NA,"Y",31,23,0,"P",216,"Y","Y","Y","Y",12,40,0,"Y","N",0,"N","N",277,0,0
"66",80,10,"F","S",24,0,NA,"Y",31,18,0,"P",36,"Y","Y","Y","Y",0,30,0,"Y","N",0,"N","N",240,0,0
"67",81,3,"M","C",32,0,NA,"Y",31,8,0,"A",48,"Y","Y","N","Y",168,514,890,"Y","N",0,"N","N",1000,0,1
"68",83,55,"F","V",62,0,NA,"Y",31,8,0,"P",360,"Y","Y","N","Y",0,13,0,"Y","N",0,"N","N",470,0,0
"69",84,15,"M","S",19,0,NA,"Y",31,20,0,"P",60,"Y","Y","Y","Y",48,39,0,"Y","N",0,"N","N",154,0,0
"70",86,11,"F","D",38,0,NA,"Y",31,8,0,"P",72,"Y","Y","Y","Y",12,1,0,"Y","N",0,"N","N",21193,0,0
"71",87,20,"F","C",58,0,NA,"Y",31,25,0,"A",12,"Y","Y","Y","Y",12,132,0,"Y","N",0,"N","N",1875,0,0
"72",88,18,"M","C",34,0,NA,"N",50,28,0,"A",12,"Y","Y","Y","Y",12,40,0,"Y","N",0,"N","N",250,0,0
"73",89,25,"F","C",41,0,NA,"Y",31,18,0,"A",12,"Y","Y","N","Y",240,501,0,"Y","N",0,"N","N",200,0,0
"74",90,16,"F","S",20,0,NA,"Y",31,28,0,"A",24,"Y","Y","N","Y",0,950,0,"Y","N",0,"N","N",350,0,0
"75",91,10,"M","S",20,0,NA,"Y",50,8,0,"C",216,"Y","Y","Y","Y",24,514,0,"Y","N",0,"N","N",764,0,0
"76",92,21,"F","S",34,0,NA,"N",31,12,0,"A",24,"Y","Y","Y","Y",168,205,0,"N","N",0,"N","N",400,0,0
"77",93,24,"F","S",19,0,NA,"Y",50,12,0,"C",36,"Y","N","Y","Y",12,61,0,"Y","N",0,"N","N",200,0,1
"78",95,16,"M","C",50,0,NA,"Y",31,3,0,"P",240,"Y","Y","N","Y",324,158,0,"Y","N",0,"N","N",1518,0,0
"79",97,17,"F","S",38,0,NA,"Y",31,12,0,"P",288,"Y","Y","N","Y",12,263,0,"Y","N",0,"N","N",700,0,1
"80",98,4,"M","S",23,0,NA,"Y",31,20,0,"C",252,"Y","Y","Y","Y",12,950,0,"Y","N",0,"N","N",296,0,1
"81",100,2,"F","S",21,0,NA,"Y",31,1,0,"P",12,"Y","Y","Y","Y",0,60,0,"Y","N",0,"N","N",180,0,0
"82",102,12,"F","C",57,0,NA,"N",31,18,0,"P",36,"Y","Y","N","Y",0,703,0,"Y","N",0,"N","N",519,0,0
"83",103,8,"F","V",49,0,NA,"Y",31,18,0,"P",120,"Y","Y","N","Y",0,703,0,"Y","N",0,"N","N",336,0,0
"84",104,5,"F","V",61,0,NA,"Y",5,20,0,"P",240,"Y","Y","N","Y",0,703,0,"Y","N",0,"N","N",1600,0,0
"85",105,15,"F","S",19,0,NA,"Y",31,28,0,"P",228,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",219,0,1
"86",106,7,"M","C",26,0,NA,"Y",5,18,0,"P",36,"Y","Y","Y","Y",36,70,0,"Y","N",0,"N","N",2000,0,0
"87",107,25,"M","S",28,0,NA,"Y",31,1,0,"A",12,"Y","N","Y","Y",12,999,0,"Y","N",0,"N","N",1029,0,0
"88",108,13,"F","S",28,0,NA,"Y",31,12,0,"P",24,"Y","Y","N","Y",24,992,0,"Y","N",0,"N","N",1000,0,0
"89",109,15,"M","C",56,0,NA,"Y",31,12,0,"P",300,"Y","Y","N","Y",12,13,0,"Y","N",0,"N","N",306,0,0
"90",110,20,"F","S",20,0,NA,"Y",31,8,0,"P",48,"Y","Y","Y","Y",12,855,0,"Y","N",0,"N","N",244,0,1
"91",111,1,"M","O",28,0,NA,"N",50,8,0,"P",336,"Y","Y","N","Y",12,110,0,"Y","N",0,"N","N",450,0,0
"92",112,24,"F","C",45,0,NA,"Y",31,3,0,"P",180,"Y","Y","N","Y",0,720,996,"Y","N",0,"N","N",996,0,0
"93",114,25,"M","S",22,0,NA,"Y",31,12,0,"P",120,"Y","Y","Y","Y",12,213,0,"Y","N",0,"N","N",400,0,1
"94",115,25,"F","S",38,0,NA,"Y",31,8,0,"A",72,"Y","Y","Y","Y",168,807,0,"Y","N",0,"N","N",300,0,0
"95",116,11,"F","C",30,0,NA,"Y",31,8,0,"O",48,"Y","Y","Y","Y",24,717,0,"Y","N",0,"N","N",1600,0,0
"96",117,19,"F","C",51,0,NA,"Y",31,8,0,"P",24,"Y","Y","N","Y",0,704,0,"Y","N",0,"N","N",452,0,0
"97",118,25,"F","S",37,0,NA,"Y",31,18,0,"P",156,"Y","Y","Y","Y",108,999,0,"Y","N",0,"N","N",380,0,0
"98",119,15,"F","C",55,0,NA,"Y",31,18,0,"P",336,"Y","Y","N","Y",0,656,0,"Y","N",0,"N","N",0,0,0
"99",120,25,"F","C",48,0,NA,"Y",31,8,0,"P",156,"Y","Y","Y","Y",204,999,0,"Y","N",0,"N","N",1300,0,0
"100",121,25,"M","O",64,0,NA,"Y",31,8,0,"P",36,"Y","Y","N","Y",48,38,0,"N","N",0,"N","N",458,0,0
"101",122,23,"F","D",41,0,NA,"Y",31,12,0,"P",36,"Y","Y","Y","Y",72,712,0,"Y","N",0,"N","N",820,0,0
"102",123,22,"F","C",36,0,NA,"Y",50,3,0,"P",132,"Y","Y","N","Y",60,950,1200,"Y","N",0,"N","N",500,0,0
"103",124,25,"F","S",52,0,NA,"Y",31,12,0,"P",360,"Y","Y","Y","Y",252,251,0,"Y","N",0,"N","N",400,0,0
"104",127,25,"F","C",52,0,NA,"Y",5,8,0,"P",300,"Y","Y","N","Y",60,13,0,"Y","N",0,"N","N",1399,0,0
"105",128,9,"F","C",41,0,NA,"Y",5,12,0,"P",84,"Y","Y","N","Y",0,720,3200,"Y","N",0,"N","N",0,0,0
"106",129,25,"M","S",18,0,NA,"Y",50,20,0,"P",120,"Y","Y","N","Y",60,865,0,"Y","N",0,"N","N",600,0,0
"107",130,21,"F","S",37,0,NA,"Y",31,1,0,"P",360,"Y","Y","Y","Y",60,999,0,"Y","N",0,"N","N",420,0,0
"108",131,24,"F","S",19,0,NA,"Y",31,12,0,"C",228,"Y","Y","Y","Y",12,46,0,"Y","N",0,"N","N",381,0,0
"109",132,12,"M","S",25,0,NA,"Y",31,3,0,"P",120,"Y","Y","N","Y",0,992,0,"Y","N",0,"N","N",598,0,0
"110",134,25,"F","V",46,0,NA,"Y",50,18,0,"P",192,"Y","Y","N","Y",84,703,0,"Y","N",0,"N","N",656,0,0
"111",135,25,"F","C",34,0,NA,"Y",31,3,0,"A",72,"Y","Y","N","Y",132,24,0,"N","N",0,"N","N",692,0,0
"112",136,66,"F","O",51,0,NA,"Y",31,12,0,"P",492,"Y","Y","N","Y",36,950,0,"Y","N",0,"N","N",400,0,1
"113",137,10,"M","C",57,0,NA,"Y",31,8,0,"P",120,"Y","Y","Y","Y",240,514,0,"Y","N",0,"N","N",4000,0,0
"114",138,3,"M","C",64,0,NA,"Y",31,8,0,"P",108,"Y","Y","N","Y",96,707,0,"Y","N",0,"N","N",449,0,0
"115",139,55,"F","S",36,0,NA,"Y",31,18,0,"P",24,"Y","Y","N","Y",48,950,0,"Y","N",0,"N","N",550,0,0
"116",140,16,"F","S",34,0,NA,"N",31,28,0,"C",60,"Y","Y","N","Y",84,205,0,"Y","N",0,"N","N",540,0,0
"117",141,20,"M","S",19,0,NA,"N",50,12,0,"P",180,"Y","Y","Y","Y",12,63,0,"Y","N",0,"N","N",182,0,0
"118",142,10,"M","C",43,0,NA,"Y",31,3,0,"P",60,"Y","Y","Y","Y",48,863,0,"Y","N",0,"N","N",1300,0,0
"119",144,17,"M","V",50,0,NA,"Y",31,20,0,"P",12,"Y","Y","N","Y",36,999,0,"Y","N",0,"N","N",1600,0,1
"120",145,12,"M","S",49,0,NA,"N",31,25,0,"P",60,"Y","Y","N","Y",0,13,0,"Y","N",0,"N","N",502,0,0
"121",146,11,"M","S",32,0,NA,"N",50,18,0,"O",12,"Y","Y","Y","Y",24,26,0,"Y","N",0,"N","N",226,0,0
"122",147,24,"F","D",62,0,NA,"Y",31,25,0,"P",360,"Y","Y","N","Y",12,13,0,"Y","N",0,"N","N",727,0,0
"123",148,13,"F","S",22,0,NA,"Y",31,28,0,"P",264,"Y","Y","N","Y",0,100,0,"Y","N",0,"N","N",380,0,0
"124",149,3,"F","C",19,0,NA,"Y",31,12,0,"P",144,"Y","Y","Y","Y",0,999,0,"Y","N",0,"N","N",701,0,0
"125",151,25,"M","S",22,0,NA,"N",50,8,0,"A",24,"Y","Y","Y","Y",0,999,0,"Y","N",0,"N","N",202,0,0
"126",152,8,"M","S",22,0,NA,"Y",31,8,0,"P",264,"Y","Y","N","Y",12,118,0,"Y","N",0,"N","N",350,0,0
"127",153,7,"M","S",21,0,NA,"Y",5,20,0,"P",228,"Y","Y","Y","Y",12,806,0,"Y","N",0,"N","N",300,0,1
"128",154,25,"F","S",36,0,NA,"Y",50,12,0,"A",36,"Y","Y","Y","Y",24,125,0,"Y","N",0,"N","N",2164,0,1
"129",156,55,"F","S",47,0,NA,"Y",31,12,0,"P",456,"Y","Y","N","Y",36,13,0,"Y","N",0,"N","N",1030,0,0
"130",157,22,"F","S",18,0,NA,"N",50,25,0,"P",156,"Y","N","Y","Y",12,806,0,"Y","N",0,"N","N",293,0,0
"131",158,12,"M","S",21,0,NA,"Y",31,8,0,"P",60,"Y","Y","Y","Y",12,265,0,"Y","N",0,"N","N",296,0,0
"132",160,21,"F","S",36,0,NA,"Y",31,12,0,"O",180,"Y","Y","Y","Y",180,40,0,"N","N",0,"N","N",382,0,0
"133",161,6,"F","S",36,0,NA,"Y",5,20,0,"P",384,"Y","Y","N","Y",24,950,0,"Y","N",0,"N","N",180,0,0
"134",162,22,"M","S",27,0,NA,"N",50,18,0,"P",48,"Y","Y","Y","Y",24,999,0,"Y","N",0,"N","N",575,0,1
"135",163,55,"F","S",28,0,NA,"N",50,12,0,"A",12,"Y","Y","Y","Y",24,801,0,"Y","N",0,"N","N",700,0,0
"136",164,9,"F","S",45,0,NA,"Y",5,12,0,"A",120,"Y","Y","Y","Y",216,117,0,"Y","N",0,"N","N",2000,0,0
"137",165,15,"F","C",40,0,NA,"Y",31,8,0,"P",36,"Y","N","Y","Y",12,855,0,"Y","N",0,"N","N",291,0,0
"138",166,25,"M","O",30,0,NA,"Y",31,12,0,"P",12,"Y","Y","Y","Y",0,992,0,"Y","N",0,"N","N",270,0,0
"139",167,16,"M","S",21,0,NA,"Y",31,28,0,"A",36,"Y","Y","N","Y",12,707,0,"Y","N",0,"N","N",378,0,0
"140",168,25,"F","S",27,0,NA,"Y",31,12,0,"P",36,"Y","Y","N","Y",0,654,0,"Y","N",0,"N","N",669,0,1
"141",169,25,"F","S",31,0,NA,"Y",31,18,0,"P",240,"Y","Y","N","Y",36,999,0,"Y","N",0,"N","N",1520,0,0
"142",170,22,"M","C",74,0,NA,"N",50,8,0,"P",360,"Y","Y","N","Y",12,13,0,"Y","N",0,"N","N",1316,0,1
"143",172,55,"M","C",24,0,NA,"Y",31,23,0,"P",96,"Y","Y","Y","Y",60,110,460,"Y","N",0,"N","N",476,0,0
"144",173,55,"F","S",34,0,NA,"Y",31,3,0,"P",240,"Y","Y","N","Y",48,13,0,"Y","N",0,"N","N",250,0,1
"145",174,55,"F","S",23,0,NA,"Y",31,25,0,"C",24,"Y","Y","Y","Y",12,266,0,"Y","N",0,"N","N",450,0,0
"146",176,25,"M","C",31,0,NA,"N",50,18,0,"P",36,"Y","Y","Y","Y",0,953,0,"Y","N",0,"N","N",705,0,0
"147",178,6,"F","C",31,0,NA,"N",50,1,0,"P",12,"Y","Y","Y","Y",12,251,200,"Y","N",0,"N","N",180,0,0
"148",179,7,"M","C",43,0,NA,"Y",5,18,0,"P",72,"Y","Y","N","Y",216,514,0,"Y","N",0,"N","N",1050,0,0
"149",180,55,"F","S",19,0,NA,"N",50,20,0,"O",24,"Y","Y","Y","Y",12,61,0,"N","N",0,"N","N",500,0,1
"150",181,17,"F","S",22,0,NA,"Y",31,25,0,"P",120,"Y","Y","N","Y",36,61,0,"Y","N",0,"N","N",350,0,0
"151",183,7,"M","S",20,0,NA,"Y",1,3,0,"C",240,"Y","Y","N","N",24,514,0,"N","N",0,"N","N",350,0,0
"152",184,22,"M","C",38,0,NA,"Y",31,20,0,"P",60,"Y","Y","N","Y",36,167,0,"Y","N",0,"N","N",962,0,1
"153",185,8,"F","S",38,0,NA,"Y",31,8,0,"P",36,"Y","Y","N","Y",24,501,0,"Y","N",0,"N","N",700,0,0
"154",186,24,"M","S",19,0,NA,"N",31,12,0,"P",180,"Y","Y","N","Y",36,254,0,"Y","N",0,"N","N",255,0,1
"155",188,25,"F","C",27,0,NA,"Y",31,3,0,"C",60,"Y","Y","Y","Y",108,863,1800,"Y","N",0,"N","N",1300,0,0
"156",189,25,"F","S",37,0,NA,"Y",31,8,0,"P",360,"Y","Y","Y","Y",60,205,0,"Y","N",0,"N","N",550,0,0
"157",191,17,"M","C",39,0,NA,"Y",31,25,0,"P",72,"Y","Y","Y","Y",72,999,0,"Y","N",0,"N","N",340,0,0
"158",192,25,"F","C",43,0,NA,"Y",31,8,0,"A",36,"Y","Y","N","Y",12,992,0,"Y","N",0,"N","N",570,0,0
"159",195,22,"F","C",26,0,NA,"N",31,20,0,"P",36,"Y","Y","N","Y",12,165,0,"Y","N",0,"N","N",180,0,0
"160",196,3,"M","O",24,0,NA,"Y",31,12,0,"P",72,"Y","N","N","Y",60,706,0,"Y","N",0,"N","N",480,0,1
"161",198,22,"M","C",40,0,NA,"Y",31,12,0,"A",12,"Y","N","N","Y",168,514,0,"Y","N",0,"N","N",1064,0,0
"162",199,2,"F","S",20,0,NA,"Y",31,3,0,"P",156,"Y","Y","Y","Y",12,26,0,"Y","N",0,"N","N",235,0,1
"163",200,23,"F","S",43,0,NA,"Y",31,28,0,"P",60,"Y","Y","Y","Y",36,110,0,"Y","N",0,"N","N",350,0,0
"164",201,24,"M","S",21,0,NA,"Y",31,8,0,"A",24,"Y","N","N","Y",12,999,0,"Y","N",0,"N","N",309,0,0
"165",202,22,"F","S",34,0,NA,"Y",31,8,0,"P",240,"Y","Y","N","Y",60,950,0,"Y","N",0,"N","N",800,0,0
"166",204,55,"F","V",23,0,NA,"Y",31,28,0,"A",0,"Y","Y","N","Y",36,703,0,"Y","N",0,"N","N",399,0,1
"167",205,25,"F","S",37,0,NA,"Y",31,18,0,"C",336,"Y","Y","Y","Y",48,905,0,"Y","N",0,"N","N",1042,0,0
"168",206,16,"F","C",28,0,NA,"Y",31,12,0,"P",12,"Y","Y","N","Y",12,222,0,"Y","N",0,"N","N",546,0,0
"169",207,16,"F","C",56,0,NA,"Y",31,1,0,"P",144,"Y","Y","N","Y",0,999,0,"Y","N",0,"N","N",400,0,0
"170",209,11,"M","S",29,0,NA,"Y",31,3,0,"O",12,"Y","Y","Y","Y",24,999,0,"Y","N",0,"N","N",530,0,0
"171",210,25,"F","D",54,0,NA,"Y",31,12,0,"P",372,"Y","N","N","Y",60,703,0,"Y","N",0,"N","N",340,0,0
"172",211,19,"F","S",31,0,NA,"Y",31,12,0,"P",240,"Y","Y","Y","Y",72,999,0,"Y","N",0,"N","N",1230,0,0
"173",212,2,"M","S",20,0,NA,"Y",31,28,0,"C",252,"Y","Y","Y","Y",0,213,0,"Y","N",0,"N","N",239,0,0
"174",213,5,"F","S",18,0,NA,"N",50,18,0,"C",48,"Y","Y","N","Y",0,251,0,"Y","N",0,"N","N",200,0,0
"175",214,22,"M","C",39,0,NA,"N",50,12,0,"P",240,"Y","Y","N","Y",180,999,0,"Y","N",0,"N","N",1000,0,0
"176",215,10,"F","C",44,0,NA,"Y",31,8,0,"P",48,"Y","Y","Y","Y",288,713,0,"Y","N",0,"N","N",1223,0,0
"177",217,55,"M","O",34,0,NA,"Y",31,12,0,"P",324,"Y","Y","N","Y",24,26,0,"Y","N",0,"N","N",280,0,0
"178",219,12,"F","S",39,0,NA,"N",31,8,0,"A",48,"Y","Y","Y","Y",36,205,0,"Y","N",0,"N","N",300,0,0
"179",220,66,"M","S",20,0,NA,"Y",31,16,0,"P",240,"Y","Y","Y","Y",12,999,0,"Y","N",0,"N","N",450,0,0
"180",221,25,"M","C",47,0,NA,"Y",31,12,0,"P",180,"Y","Y","Y","Y",84,202,0,"Y","N",0,"N","N",1000,0,0
"181",222,24,"F","S",21,0,NA,"N",50,12,0,"P",12,"Y","Y","N","Y",12,703,0,"Y","N",0,"N","N",700,0,1
"182",223,15,"F","D",45,0,NA,"Y",31,20,0,"P",276,"Y","N","Y","Y",12,205,0,"Y","N",0,"N","N",203,0,0
"183",224,19,"F","C",58,0,NA,"Y",31,28,0,"P",276,"Y","Y","N","Y",0,999,0,"Y","N",0,"N","N",300,0,0
"184",226,12,"M","C",53,0,NA,"Y",31,8,0,"P",336,"Y","Y","N","Y",0,13,0,"Y","N",0,"N","N",1040,0,1
"185",227,5,"M","S",18,0,NA,"Y",23,18,0,"C",24,"Y","Y","N","Y",0,999,0,"Y","N",0,"N","N",200,0,0
"186",228,23,"F","S",19,0,NA,"Y",31,28,0,"A",228,"Y","Y","N","Y",12,999,0,"Y","N",0,"N","N",600,0,1
"187",229,1,"M","C",36,0,NA,"Y",50,8,0,"P",108,"Y","Y","Y","Y",12,707,0,"Y","N",0,"N","N",204,0,1
"188",231,10,"F","C",41,0,NA,"Y",31,12,3,"P",204,"Y","Y","N","Y",0,123,0,"Y","N",0,"N","N",300,0,0
"189",232,16,"M","C",24,0,NA,"Y",31,8,0,"P",168,"Y","Y","Y","Y",48,26,0,"Y","N",0,"N","N",321,0,0
